barcode,description
5449000133847,AQUARIUS NARANJA 1.5L
146668147,COCACOLA LATA
8410128000400,00.BEZOYA.1.5L
000000,MALA AGUA
00000,CAFE LATTE
11111,HUEVOS M 12
8410408050354,54.YOGUR
8410494300722,KAS NARANJA ZERO 330ML
8410494300074,74.7UP.330ML.ZERO
8717700002105,SEVEN  UP ZERO 2L
149287248,VARIOS
8850163100107,07.DUREX.THIN
8428594100173,ALEMENDRA FRITA
8428594100159,ALEMENDRA PIEL CRUDA
8428594100166,ALEMENDRA REPELADA CRUDA
8428594100029,ANACARDO FRIDO
8428594005577,ANACARDO CRUDO
8428594005560,ARANDANOS ROJOS
8428594000138,AVELLANA TOSTADA
8428594000381,CACAHUETE CASCARA
8428594002354,CACAHEUTE CON SAL
8428594005539,CACAHUETE REP FRITO
8428594005461,CIRUELAS SIN HUESO
6191565900073,DATTES DAGLET NOUR
8428594100081,GOMINOLAS
8428594005300,GOMINOLAS BRILLO
8428594004167,GOMINOLAS 300
8428594100104,NUEZ MONDADA
8428594004488,UVA PASAS SIN SEMILLAS
8428594100036,PINON NATURAL
8428594100074,PIPA DE CALBAZA
8428594003078,PIPA CALABAZA NATURAL
8428594000626,PIPNAZO
8428594005546,PIPA PELADAS
8428594100043,PISTACHO TOSTADA
8428594100067,REVUEL TO EXTRA
8428594005010,REVUELTO NORMAL
8428594002545,REVUELTO  NATURAL
8428594005478,OREJONES
8428594002729,COCO RALLADO
8428594006130,TORREZNOS JAMON
8410261160108,08.NARANJA.DON/SIMON.1L
8410261210100,00.PIÑA.DON/SIMON.1L
8410261240107,07.MELOCOTON.DON/SIMON.1L
8410261775234,34.ROSTOY.PEACH.330
8410261775302,02.RESTOY.PIÑA.COCO.330ML
8410261775296,96.ROSTOY.MANGO.33ML
4000177026717,ZUMO CAPRI SUN JUNGLE 20 CL
4000177996003,ZUMO CAPRI'SUN CHERRY 20 CL
4000177032732,ZUMO CAPR SUN  ORANGE 20 CL
4000177032695,ZUMO CAPRI SUN  MULTIVITMAIL 20 CL
4000177601006,00.ZUMO.CAPTRI.SAFAR.200ML
8410261602615,15.PIÑA.UVA.DON.SIMON.PACK
8410261601618,18.NARANJA.DON.SIMON.PACK
049000014266,26.FANTA.FRESA.355ML
637902309339,BOLSA.15
049000014242,24.FANTA.UVA.355ML
3700123300014,AGUA AQUAREL 1.5 L
8411547001085,85.SOLAN.DE.CABRAS.1.5L
8480012039540,CHAMELEON BLUE 25 CL
9002490100070,REDBULL.25CL
84117144,BATIDO PULEVA CHOC CRISTAL
84117168,BATIDO PULEVA FRESCA CRISTAL
8414100317357,TONICA SCHWEPPES LATA 330 CL
8410128270070,70.ZUMO.BIFRUTAS.1L
8410128891169,69.BIFRUTAS.TROPICAL330ML
5449000111982,NESTEA MANGO PINA 1.5L
8414100364078,78.SUNNY.NARANJA.330ML
84117229,BATIDO PULEVA FRESA 200
84117205,BATIDO PULEVA CHOCLATE 20
8414100302643,43.SUNNY.NARANJA.1.25 L
149388770,BATIDO PULEVA FRESCA 1L
8411700002386,BATIDO PULEVA CHOCOLATE 1L
8410261641416,16.SIMON.LIFE.NARANJA.1.5L
8411700004250,50.LECHE.PULEVA.SEMI/D.1L
8411700026139,39.LECHE.PULEVA.ENTERA.1L
7611612222068,68.POWERKING.APPLE.MELON.250ML
7611612221023,POWERKING.AZUL.25.ML
7611612222006,POWERKIN PINA COCO 25 CL
8410261380100,00.MANZANA.DON/SIMON.1L
5601069000380,GALLETA DENSA BUTTER
3017760649193,93.MIKADO.CHOCO.BLANCO.75G.LU
3017760363396,96.MIKADO.CHOCO.LAIT.75G.LU
8436540922526,GALLET MANTEQUILLA MELS 125G
8436540920164,GALLLET MELS GRAN SELECCION STDO 500
7622201639754,GALLETA FONTANEDA BELVITA 300G
7622201640408,GALLETA FONTANEDA BELVITA 300G CHOC
8410376016857,GALLET GULLON DIGES 33
8410376042528,GALLET GULLON VITALDAY YOGURT 220g
8410376070323,23.ZERO.CHOCO.RING.128G
8410376009415,15.GULLON.CHOC.CHIC.125
8414001000457,PASTELES SURTIDOS LIDIA BDJA 400G
8434164638533,PHOSKITO BARBIE PK4 116g
8437010146558,58.LAZOS.MELS.180G
8410391708089,MAGDALENA HERAS RELLENAS 245G
8414039040036,MAGDALENA VAL LIDIA LARGA 300G
8423717444271,BIZCOCHO ARTESANTEQ 375g ALMEND
7622210669315,15.CHOCO.BROWNIE.M
7622210396334,BIZCOCHO MILKA CHOC AND CHOCO 175G
7622300784751,51.MILKA.CHOCO.&.CAKE
7622201810931,31.MILKA.CHOCO.TRIO
5906747316013,13.FONTANEDA.LULU.CHOCLATE
8428531100013,BIZCOCHO PALY 600G
8410261640334,D.SIMON 330MEDIT ZERO
8429359000004,04.AGUA FENTE PRIMAVERA 50CL
8480012029855,PAPEL IFA SABE MULTIUSOS 72 M AZUL
8480012029848,PAPEL IFA SABE RES MULTOI 132M
8410128776718,18.BIFRUTA.PARAISO.330ML
8480012012451,51.COPOS.AROZ.INT.IFA
8480012012536,36.COPOS.ARROZ.INTEGRAL.500G.IFA
8480012042663,63.CANELA.MOLIDA.IFA.40GR
8410712000212,GALLETA CORAL BOER 450GRS COCO
8410712000274,GALLETA CORALBOER 400GR CHTE/NA
8006540981610,10.ARIEL.LIQ.024+6.MANCHAS
20254126,ARIEL LIQ 24+6D SENSACIONES
8410046661530,30.FLOTA.ESENCIA.42LV
8410046661561,61.FLOTA.OCEANICO.42LV
8411897129927,27.LUZIL.PROTEGE.COLOR.24LV
8435495821830,30.SUAV.LAVANDEREA.1L.45D.BRISA
8435495821809,SUAV LAVANDERA 1L 45D LTROPICAL
8410436441766,66.VERNEL.AROMATERAPIA
8410436480482,82.VERNEL.AROMA/CHA.60.LVDO
8410436480512,12.VERENEL.LIRIO.60D
8001841980591,FAIRY 325 ULTRA RAPIDO
8410046661448,FLOTA VAJILLAS 750 POWER
8410498210119,19.MISTOL.ULTRA.PLUS.650ML
8420568600030,AGERUL WC BLOQUE B MARINA 50G
8420568600061,AGERUL WC BLOQUE CITRUS 50G
8420568600023,23.AGERUL.WC.BLOQUE.F.MONTAÑA.50G
8410262511206,ESTR CLIM MASTERCHEF SALVAUÑAS 3U
4023103168565,BAYETA VILEDA MICROFIB XL 2U
8434165439603,03.MARIA.4.200G
8434165614741,41.G.NAPOLI 213G
8411414014262,GALLET FLORBU TORTA CANELA 450G
8436048963830,GALLET DINOSA HUEVOS 105G PVP 1.40
8410055885309,09.FONT.VELLA.LIMON.0.5L
8434165603943,GALLET CUETARA COM CHO 145 PVP 1.20
7622210406354,54.MILKA.CHOCO.STICK
8410376011210,GALLET GULLON MINI TWINS CHOCO 100
8413178391184,84.MEGA.JELLY.MIX.VIDAL
8000500227848,GALLET NUTELA B READY T 6 132G
7622300281182,GALLET OREO RODILLO 154G
7622210480002,GALLET OREO VAINILLA 154G
7622210204424,GALLET PRINCIPE CHOCO 300G PK4
7622210247292,92.G/PRINCIPE.MAXI.CHOCO.250G
8593894912327,27.PRINCIPE.BARQUI.CHOCO
7622300344757,57.MILKA.CHOCO.W.WHITE 180G
7622300675981,81.CHOCO.WAFER.MILKA.180G
8410376011203,GALLET GULLON MINI TOWINS CH/BCO 100
8410261608402,02.ZUMO.NARANJA.100%
8410810009759,NECTAR MOCITOS BOT. 250ML NAR
8410707005017,17.JUVER.PIÑA.EXPRIMIDA
8410707001262,62.DISFRUTA.JUVER.PINA.CO
8410707131389,ZUMO JUVER SELEC BOTELLIN 200 MANZANA
8431707020053,NECTAR GRANINI BOTE 1LT GRANADA
8410707001286,86.DISFRUTA.JUVER.MANGO
8410707102389,JUVER SELEC BOTELLEN 200 PIÑA
8410707101382,JUVER SELEC BOTELLEN 200 MELOCOTON
4002160092150,NECTAR GRANINI BITE 1LT NARANJA
8431707094290,NECTAR GRANINI BOTE 1LT ARANDANOS
8410707003693,93.DISFRUTA.JUVER.NARANJA
8480012000519,19.ACEITE.OLIVA.CLASIC.IFA.1L
4002160092891,GRANINI  1LT PIÑA
8410707001255,55.DISFRUTA.JUVER.F.ROJOS
8431707094283,83.GRANINI.ZANAHORIA/NAR.1L
8480012017265,AGRIO LIMON IFA 50CL PET
8480012017159,VINAGRE VINO IFA 500
8480012017142,VINAGRE VINO IFA 1 LT
8410261650043,43.DISFRUTA.PIÑA
8410261650050,50.DISFRUTA.D.SIMON.MELOCOTON.1.5L
8429359420406,06.ENJOY.TROPICAL.500ML
8429359320409,09.ENJOY.NARANJA.500ML
8429359002633,33.ENJOY.FRESA
8410261650074,74.DISFRUTA.MANGO.D.SIMON.1.5L
8410261650340,40.DIFRUTA.D.SIMON.GRANADA.1.5L
8410066000074,TOMATE FRITO ORLANDO 350 BRIK-AF
